Binary,Mnemonic,Cycles,Skip if F,Stop,Halt,(BC)/(DE) src,SP src,HL src,(HL) src,D2 src,Reg C src,(N) src,imm16 src,imm8 src,FF00 Offset,SP dest,addr16 dest,R light dest,R dark dest,D1 dest,Reg A dest,PC dest,"Swap s, d",BCD d,Not d,ALU,Jump,Return,CALL,RST,CCF,SCF,d+=s,Rot,Mem Loc s,Load,CB,Dec d,Inc d,Dec s,Inc s,DI,EI
,,,FSKIP,STP,HLT,PAIRS,SPS,,HLS,D2S,RCS,,16S,8S,FF00,SPS,16ADDR,RLD,RDD,D1D,RAD,PCD,SWP,BCD,NOTD,ALU,JP,RET,CALL,RST,CCF,SCF,DADDS,ROT,MEMS,LD,CB,DECD,INCD,DECS,INCS,DI,EI
,,,if (flag(op.F)) break;,stop();,if (checkHalt(op.value)) {halt(); break;},u8 *s = &mem[regPair[op.sR]];,u16 *s = &sp;,u16 *s = &regPair[REG_HL];,u8 *s = &mem[regPair[REG_HL]];,u8 *s = (op.d2 ^ 0b110) ? &reg[op.d2] : &mem[regPair[0b10]];,u8 *s = &reg[0x1];,u8 *s = &mem[imm16];,u16 *s = &imm16;,u8 *s = &imm8;,s = &mem[0xFF00 + *s];,u16 *d = &sp;,u16 *d = (u16*) &mem[imm16];,u16 *d = (op.R ^ 0b11) ? &regPair[op.R] : &sp;,u16 *d = &regPair[op.R];,u8 *d = (op.d1 ^ 0b110) ? &reg[op.d1] : &mem[regPair[0b10]];,u8 *d = &reg[0x7];,u16 *d = &pc;,auto *tmp = s; s = d; d=tmp;,*d = bcd(*d);,*d = ~(*d);,"*d = alu(*d, *s, op.d1);",pc = *s;,pc = *((u16*) &mem[sp]); sp -= 2;,mem[sp] = pc; sp += 2; pc = *s;,pc = op.d1 << 3; rst();,reg[REG_F] = (reg[REG_F] & 0b10010000) ^ 0b00010000;,reg[REG_F] = (reg[REG_F] & 0b10000000) | 0b00010000;,*d = (*d) + (*s);,"*d = rot(*d, op.dir, op.nC);",*d = mem[*s];,*d = *s;,cb();,*d = *d - 1;,*d = *d + 1;,*s = *s - 1;,*s = *s + 1;,EI = 0;,EI = 1;
0000 0000,NOP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000 1000,"LD (${imm16}), SP",4,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
00** 0001,"LD ${lR}, ${imm16}",4,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
000* 0010,"LD (${sR}), A",4,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,
000* 1010,"LD A, (${sR})",4,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
0001 0000,STOP,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00** 0011,INC ${lR},4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
00** 1011,DEC ${lR},4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
00** *100,INC ${d1},4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,
00** *101,DEC ${d1},4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,
00** *110,"LD ${d1}, ${imm8}",4,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
01** ****,"LD ${d1}, ${d2}",4,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
000* *111,R${dir}${carry}A,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
0001 1000,JR ${imm8},4,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
001* *000,"JR ${F}, ${imm8}",4,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
1100 0011,JP ${imm16},4,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
110* *010,"JP ${F}, ${imm16}",4,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1110 1001,JP HL,4,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0010 0010,"LDI (HL), A",4,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,
0010 1010,"LDI A, (HL)",4,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
0010 0010,"LDD (HL), A",4,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,
0011 1010,"LDD A, (HL)",4,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
0010 0111,DAA,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
0010 1111,CPL,4,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
0011 1111,CCF,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0011 0111,SCF,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
00** 1001,"ADD HL, ${lR}",4,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,
10** ****,"${ALU_OP} A, ${d2}",4,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
11** *110,"${ALU_OP} A, ${imm8}",4,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
11** 0001,POP ${dR},4,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,
11** 0101,PUSH ${dR},4,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,
1110 0010,"LD (C), A",4,,,,,,,,,1,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,
